,FECHA,DESCRIPCION,CREDIT/DEBIT,SALDO,MONEDA
146,2025-03-01 00:00:00,PAGO PSE MOVII SA,-200000.0,27022221.52,COP
147,2025-03-01 00:00:00,ABONO INTERESES AHORROS,36.65,27541932.52,COP
148,2025-03-01 00:00:00,COMPRA EN  SUPERMERCA,-136780.0,27276221.52,COP
149,2025-03-01 00:00:00,TRASLADO VIRTUAL OTROS BANCOS,-267163.0,26755058.52,COP
150,2025-03-01 00:00:00,COMISION TRASLADO OTROS BANCOS,-7300.0,26747758.5,COP
151,2025-03-01 00:00:00,IVA COMIS TRASLADO OTROS BCOS,-1387.0,26746371.5,COP
152,2025-03-01 00:00:00,AJUSTE INTERES AHORROS DB,-0.02,26755058.5,COP
153,2025-03-01 00:00:00,COMPRA EN  NATURALS A,-54000.0,27222221.52,COP
154,2025-03-02 00:00:00,ABONO INTERESES AHORROS,36.49,26746407.99,COP
155,2025-03-02 00:00:00,PAGO PSE COMUNICACION CELULAR,-32000.0,26714407.99,COP
156,2025-03-02 00:00:00,COMPRA INTL  PAYPAL  DISNEYPLU,-74120.77,26640287.22,COP
157,2025-03-03 00:00:00,COMPRA EN  TIENDA D1,-52370.0,26587917.22,COP
158,2025-03-03 00:00:00,RETIRO CAJERO  PLAZA DEL BOSQU,-700000.0,25887917.22,COP
159,2025-03-03 00:00:00,PAGO AUTOM TC MASTER PESOS,-35200.0,25852717.22,COP
160,2025-03-05 00:00:00,ABONO INTERESES AHORROS,106.23,25852823.45,COP
161,2025-03-06 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,50000.0,25902823.45,COP
162,2025-03-06 00:00:00,ABONO INTERESES AHORROS,35.48,25902858.93,COP
163,2025-03-07 00:00:00,PAGO PSE COMUNICACION CELULAR,-130508.0,25772386.02,COP
164,2025-03-07 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-150000.0,25622386.02,COP
165,2025-03-07 00:00:00,ABONO INTERESES AHORROS,35.09,25902894.02,COP
166,2025-03-08 00:00:00,ABONO INTERESES AHORROS,34.58,25622420.6,COP
167,2025-03-08 00:00:00,COMPRA EN  JHON PEZ F,-104460.0,25517960.6,COP
168,2025-03-08 00:00:00,COMPRA EN  METRO IBAG,-72630.0,25445330.6,COP
169,2025-03-08 00:00:00,RETIRO CAJERO  CAJERO AUTO C.C,-200000.0,25245330.6,COP
170,2025-03-09 00:00:00,COMPRA EN  SUPERTIEND,-29190.0,24899908.6,COP
171,2025-03-09 00:00:00,PAGO PSE COMUNICACION CELULAR,-32000.0,24867908.6,COP
172,2025-03-09 00:00:00,COMPRA EN  FALABELLA,-233970.0,25011360.6,COP
173,2025-03-09 00:00:00,COMPRA EN  SUPERMERCA,-82262.0,24929098.6,COP
174,2025-03-13 00:00:00,ABONO INTERESES AHORROS,170.3,24868078.9,COP
175,2025-03-14 00:00:00,ABONO INTERESES AHORROS,36.88,28605575.78,COP
176,2025-03-14 00:00:00,PAGO DE NOMI UNIV DE IBAGUE,3737460.0,28605538.9,COP
177,2025-03-14 00:00:00,COMPRA EN  SUPERTIEND,-260067.0,28345508.78,COP
178,2025-03-14 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-121300.0,26924208.78,COP
179,2025-03-14 00:00:00,RETIRO CAJERO  PLAZA DEL BOSQU,-1300000.0,27045508.78,COP
180,2025-03-15 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-920000.0,26004208.78,COP
181,2025-03-15 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-123100.0,25881108.78,COP
182,2025-03-21 00:00:00,ABONO INTERESES AHORROS,248.15,25881356.93,COP
183,2025-03-22 00:00:00,ABONO INTERESES AHORROS,35.37,25881392.3,COP
184,2025-03-22 00:00:00,COMPRA EN  SUPERMERCA,-58310.0,25823082.3,COP
185,2025-03-23 00:00:00,ABONO INTERESES AHORROS,35.06,25823117.36,COP
186,2025-03-23 00:00:00,COMPRA EN  FONDANT CA,-42000.0,25781117.36,COP
187,2025-03-23 00:00:00,COMPRA EN  SURTIPLAZA,-165233.0,25615884.36,COP
188,2025-03-23 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-20000.0,25595884.36,COP
189,2025-03-24 00:00:00,ABONO INTERESES AHORROS,35.02,25595919.38,COP
190,2025-03-24 00:00:00,COMPRA EN  SUPERTIEND,-25001.0,25570918.38,COP
191,2025-03-25 00:00:00,RETIRO CAJERO  UNIVERSIDAD IBA,-200000.0,25244728.38,COP
192,2025-03-25 00:00:00,COMPRA EN  SUPERTIEND,-67400.0,25503518.38,COP
193,2025-03-25 00:00:00,PAGO APP ALCANOS DE COLOMBIA,-58790.0,25444728.38,COP
194,2025-03-26 00:00:00,ABONO INTERESES AHORROS,69.16,25244797.54,COP
195,2025-03-27 00:00:00,PAGO INTERBANC DLOCAL COLOMBIA,37.75,25244835.29,COP
196,2025-03-27 00:00:00,ABONO INTERESES AHORROS,34.52,25244869.81,COP
197,2025-03-27 00:00:00,PAGO IBAL S.A. ESP,-39800.0,25205069.81,COP
198,2025-03-28 00:00:00,PAGO DE NOMI UNIV DE IBAGUE,4779708.0,29984777.81,COP
199,2025-03-28 00:00:00,ABONO INTERESES AHORROS,38.82,29984816.63,COP
200,2025-03-28 00:00:00,RETIRO CAJERO  PLAZA DEL BOSQU,-1200000.0,28784816.63,COP
201,2025-03-28 00:00:00,TRASLADO VIRTUAL OTROS BANCOS,-281229.0,28503587.63,COP
202,2025-03-28 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-159800.0,28343787.63,COP
203,2025-03-28 00:00:00,AJUSTE INTERES AHORROS DB,-0.01,28343787.62,COP
204,2025-03-28 00:00:00,COMISION TRASLADO OTROS BANCOS,-7300.0,28336487.62,COP
205,2025-03-28 00:00:00,IVA COMIS TRASLADO OTROS BCOS,-1387.0,28335100.62,COP
206,2025-03-29 00:00:00,COMPRA EN  JHON PEZ F,-158270.0,28139268.6,COP
207,2025-03-29 00:00:00,COMPRA EN  JUAN VALDE,-37600.0,28297538.6,COP
208,2025-03-29 00:00:00,COMPRA EN  TIENDA D1,-27900.0,27725753.6,COP
209,2025-03-29 00:00:00,COMPRA EN  SURTIPLAZA,-385615.0,27753653.6,COP
210,2025-03-29 00:00:00,ABONO INTERESES AHORROS,37.98,28335138.6,COP
211,2025-03-30 00:00:00,COMPRA EN  TIENDA D1,-27160.0,27698593.6,COP
212,2025-03-30 00:00:00,COMPRA EN  TOSTAO CAF,-33000.0,27665593.6,COP
213,2025-03-30 00:00:00,COMPRA EN  JUAN VALDE,-29800.0,27635793.6,COP
214,2025-03-30 00:00:00,COMPRA EN  METRO IBAG,-46350.0,27589443.6,COP
215,2025-03-31 00:00:00,ABONO INTERESES AHORROS,75.58,27589519.18,COP
216,2025-04-01 00:00:00,ABONO INTERESES AHORROS,37.24,27589556.42,COP
217,2025-04-01 00:00:00,RETIRO CAJERO  UNIVERSIDAD IBA,-400000.0,27189556.42,COP
218,2025-04-02 00:00:00,ABONO INTERESES AHORROS,37.14,27189593.56,COP
219,2025-04-02 00:00:00,COMPRA INTL  PAYPAL  DISNEYPLU,-74395.87,27115197.69,COP
220,2025-04-03 00:00:00,COMPRA EN  JHON PEZ F,-28000.0,27087197.69,COP
221,2025-04-03 00:00:00,PAGO AUTOM TC MASTER PESOS,-54100.0,27033097.69,COP
222,2025-04-05 00:00:00,ABONO INTERESES AHORROS,111.09,27033208.78,COP
223,2025-04-06 00:00:00,ABONO INTERESES AHORROS,36.89,27033245.67,COP
224,2025-04-06 00:00:00,COMPRA EN  SUPERMERCA,-66527.0,26966718.67,COP
225,2025-04-06 00:00:00,PAGO PSE COMUNICACION CELULAR,-32000.0,26934718.67,COP
226,2025-04-07 00:00:00,ABONO INTERESES AHORROS,36.79,26934755.46,COP
227,2025-04-07 00:00:00,COMPRA EN  SUPERMERCA,-71634.0,26863121.46,COP
228,2025-04-08 00:00:00,ABONO INTERESES AHORROS,36.52,26863157.98,COP
229,2025-04-08 00:00:00,RETIRO CAJERO  UNIVERSIDAD IBA,-200000.0,26663157.98,COP
230,2025-04-09 00:00:00,ABONO INTERESES AHORROS,36.48,26663194.46,COP
231,2025-04-09 00:00:00,PAGO PSE COMUNICACION CELULAR,-32000.0,26631194.46,COP
232,2025-04-10 00:00:00,ABONO INTERESES AHORROS,35.76,26631230.22,COP
233,2025-04-10 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-520000.0,26111230.22,COP
234,2025-04-11 00:00:00,PAGO DE NOMI UNIV DE IBAGUE,3737460.0,29848690.22,COP
235,2025-04-11 00:00:00,PAGO PSE COMUNICACION CELULAR,-130508.0,29718222.25,COP
236,2025-04-11 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-123100.0,29595122.25,COP
237,2025-04-11 00:00:00,ABONO INTERESES AHORROS,40.03,29848730.25,COP
238,2025-04-11 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-370000.0,29225122.25,COP
239,2025-04-12 00:00:00,ABONO INTERESES AHORROS,39.54,29225161.79,COP
240,2025-04-12 00:00:00,COMPRA EN  BOLD*Lania,-90000.0,29135161.79,COP
241,2025-04-12 00:00:00,COMPRA EN  SUPERTIEND,-52800.0,29082361.79,COP
242,2025-04-12 00:00:00,COMPRA EN  COUSINS ES,-89400.0,28992961.79,COP
243,2025-04-12 00:00:00,COMPRA EN  SUPERMERCA,-91009.0,28901952.79,COP
244,2025-04-12 00:00:00,COMPRA EN  FONDANT CA,-32000.0,28869952.79,COP
245,2025-04-13 00:00:00,ABONO INTERESES AHORROS,39.42,28869992.21,COP
246,2025-04-13 00:00:00,COMPRA EN  SUPERMERCA,-45250.0,28824742.21,COP
247,2025-04-13 00:00:00,COMPRA EN  FUENTE DE,-44200.0,28780542.21,COP
248,2025-04-14 00:00:00,ABONO INTERESES AHORROS,37.49,28780579.7,COP
249,2025-04-14 00:00:00,COMPRA EN  SUPERMERCA,-33100.0,28747479.7,COP
250,2025-04-14 00:00:00,COMPRA EN  TIENDA D1,-50520.0,28696959.7,COP
251,2025-04-14 00:00:00,PAGO APP ALCANOS DE COLOMBIA,-58910.0,28638049.7,COP
252,2025-04-14 00:00:00,RETIRO CAJERO  ATM PLAZA DEL B,-1200000.0,27438049.7,COP
253,2025-04-14 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-68000.0,27370049.7,COP
254,2025-04-15 00:00:00,ABONO INTERESES AHORROS,37.46,27370087.16,COP
255,2025-04-15 00:00:00,COMPRA EN  SUPERMERCA,-23184.0,27346903.16,COP
256,2025-04-16 00:00:00,COMPRA EN  SUPERMERCA,-127408.0,27219495.16,COP
257,2025-04-17 00:00:00,ABONO INTERESES AHORROS,74.56,27219569.72,COP
258,2025-04-18 00:00:00,ABONO INTERESES AHORROS,36.87,27219606.59,COP
259,2025-04-18 00:00:00,RETIRO CAJERO  ATM PLAZA DEL B,-300000.0,26919606.59,COP
260,2025-04-19 00:00:00,ABONO INTERESES AHORROS,36.81,26919643.4,COP
261,2025-04-19 00:00:00,COMPRA EN  SUPERMERCA,-41989.0,26877654.4,COP
262,2025-04-20 00:00:00,COMPRA EN  SUPERMERCA,-33759.0,26843895.4,COP
263,2025-04-20 00:00:00,COMPRA EN  SUPERMERCA,-161045.0,26682850.4,COP
264,2025-04-21 00:00:00,ABONO INTERESES AHORROS,73.1,26682923.5,COP
265,2025-04-22 00:00:00,COMPRA EN  SUPERMERCA,-13041.0,26669882.5,COP
266,2025-04-25 00:00:00,ABONO INTERESES AHORROS,146.12,26670028.62,COP
267,2025-04-26 00:00:00,ABONO INTERESES AHORROS,36.24,26670064.86,COP
268,2025-04-26 00:00:00,PAGO IBAL S.A. ESP,-41100.0,26628964.86,COP
269,2025-04-26 00:00:00,COMPRA EN  SURTIPLAZA,-85285.0,26543679.86,COP
270,2025-04-26 00:00:00,COMPRA EN  FUENTE DE,-48000.0,26495679.86,COP
271,2025-04-26 00:00:00,COMPRA EN  TIENDA D1,-38900.0,26456779.86,COP
272,2025-04-27 00:00:00,ABONO INTERESES AHORROS,36.23,26456816.09,COP
273,2025-04-27 00:00:00,PAGO QR ORIGO CAFE,-4600.0,26452216.09,COP
274,2025-04-28 00:00:00,ABONO INTERESES AHORROS,36.09,26452252.18,COP
275,2025-04-28 00:00:00,RETIRO CAJERO  UNIVERSIDAD IBA,-100000.0,26352252.18,COP
276,2025-04-29 00:00:00,TRASLADO VIRTUAL OTROS BANCOS,-267273.0,29444663.51,COP
277,2025-04-29 00:00:00,PAGO DE NOMI UNIV DE IBAGUE,4359644.0,30711896.18,COP
278,2025-04-29 00:00:00,ABONO INTERESES AHORROS,40.33,30711936.51,COP
279,2025-04-29 00:00:00,AJUSTE INTERES AHORROS DB,-0.01,29444663.5,COP
280,2025-04-29 00:00:00,COMISION TRASLADO OTROS BANCOS,-7300.0,29437363.5,COP
281,2025-04-29 00:00:00,IVA COMIS TRASLADO OTROS BCOS,-1387.0,29435976.5,COP
282,2025-04-29 00:00:00,RETIRO CAJERO  UNIVERSIDAD IBA,-1000000.0,29711936.51,COP
283,2025-04-30 00:00:00,ABONO INTERESES AHORROS,39.92,29436016.42,COP
284,2025-04-30 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-143900.0,29292116.42,COP
285,2025-04-30 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-143900.0,29148216.42,COP
286,2025-05-01 00:00:00,COMPRA EN  SUPERMERCA,-40710.0,27979644.66,COP
287,2025-05-01 00:00:00,COMPRA EN  METRO IBAG,-64293.0,27915351.66,COP
288,2025-05-01 00:00:00,ABONO INTERESES AHORROS,38.24,29148254.66,COP
289,2025-05-01 00:00:00,COMPRA EN  ESPRIT,-549700.0,28598554.66,COP
